method,sequence,frame_count,dN_Acc,dN_Comp,dnormals,dCD_Acc,dCD_Comp,dchamferL2_old,dchamfer-L1,dchamfer-L2,dP_5,dR_5,dF_5,dP_10,dR_10,dF_10,dP_20,dR_20,dF_20
pucrn_pu1k_4x_full,GoodVision,167,nan,nan,nan,-0.0350470944355159,1.034326234508093,0.4996395700362868,0.9992791400725736,77.17424471770892,-0.0001670477756555433,0.019048547229543966,0.010694339527582114,-0.0004006357457353449,0.01803690773441574,0.010486022320602417,-0.000605209086727565,0.016501299331793673,0.00996432606063058
pucrn_pu1k_4x_full,Mannequin,188,nan,nan,nan,-0.03340590459870185,1.187077805263474,0.5768359503323843,1.1536719006647687,102.0681455298145,-0.0004344741648330541,0.018361272187317673,0.012069508712843124,-0.0006670579619832417,0.018374955860786857,0.012465138910806084,-0.000415494404386596,0.016260378106924267,0.011059969481568621
pucrn_pu1k_4x_full,OrangeKettlebell,170,nan,nan,nan,-0.0156172461024493,0.9095011109228182,0.44694193241018354,0.8938838648203671,44.594164180672124,-0.00017112486821566075,0.029685978478797587,0.013830025895530812,-0.0005435716284619696,0.029503843318960943,0.013862782512148175,-0.0006384923185842606,0.020971759993575256,0.009961276070928116
pucrn_pu1k_4x_full,PinkNoir,201,nan,nan,nan,-0.02505041412848641,1.4327471686964515,0.7038483772839861,1.4076967545679722,102.02149431835869,-4.9132420438774416e-05,0.023092960578282,0.014706118253737105,-8.141610826528645e-05,0.02516935453086,0.016119521824784766,-0.0005489986842910355,0.02453406182594503,0.015643827202710847
pucrn_pu1k_4x_full,TicTacToe,165,nan,nan,nan,-0.022899133746978606,1.7531155946324049,0.8651082304427149,1.7302164608854298,263.41506884562705,-0.0001123615672202205,0.019353929587598073,0.01370847632748215,-0.0006307564821810829,0.01780196311027099,0.01297529856721441,-0.0009476835645993997,0.014690354909607684,0.010508040514791261
pucrn_pu1k_4x_full,TrumanShow,171,nan,nan,nan,-0.0001914677974745871,0.9730871445879323,0.48644783839522887,0.9728956767904577,56.71386461369434,0.0001388369484842944,0.027647341324747166,0.01204160671402646,0.00019944798200982605,0.025863222535681907,0.011895590323237115,0.00010152307490529644,0.019321463687411278,0.009707975616533693
pucrn_pu1k_4x_full,VictoryHeart,197,nan,nan,nan,0.0033945728328319547,0.8687917619710177,0.4360931674019213,0.8721863348038426,41.327743757202484,-0.00010615754986031956,0.029738906585851516,0.010810610519138092,-0.0003563647638201717,0.03162408669087319,0.012328372769364548,0.00022696895973206566,0.019620343633934056,0.009031020339034579
pucrn_pu1k_4x_full,VirtualLife,196,nan,nan,nan,-0.01642282935615924,0.9838561617440647,0.4837166661939527,0.9674333323879054,57.29554044889392,0.00019003992020882876,0.028069908540462096,0.014590748290758598,-0.0001769383035882255,0.028046007172635223,0.014982050013119363,-0.0007569996021529191,0.020594886624847875,0.011154250304061808
puflow_discrete_full,BlueSpeech,168,nan,nan,nan,-0.5531649973668777,0.7730134065752754,0.10992420460419972,0.21984840920839943,-2715.991011915073,-0.00022658826153945655,0.015348536386817047,0.006835828872984395,0.0010770176990496094,0.022886837435265095,0.010717241760899443,-0.008969640573632809,0.01926087857540537,0.004501237138105574
puflow_discrete_full,BlueVolley,171,nan,nan,nan,-0.6794174009601441,0.8285392500226862,0.07456092453127283,0.14912184906254566,-1378.6486041421147,0.0015617131810950757,0.012630681620780043,0.007013810592902403,-0.0008345653764275651,0.01727434620209428,0.008244289582104602,-0.009939402247350126,0.016648687006544205,0.003957185633778559
puflow_discrete_full,BouncingBlue,157,nan,nan,nan,-0.559668669261896,1.7637107061544768,0.6020210184462904,1.2040420368925808,-191.86534503076564,-0.0034314935157352955,0.012125145627409989,0.003471431630574895,-0.0050846043296201016,0.019613282338875715,0.006219400932586661,-0.006415580814026822,0.02698480860669783,0.010377683719903441
