method,sequence,frame_count,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
cg_baseline,PinkNoir,1608,nan,nan,nan,17.519637807921395,28.30521540227195,22.912426605096677,45.82485321019335,1903.3103405414338,0.19449124489466943,0.13787289836548358,0.16119897445936227,0.3625085041324721,0.26366188598708046,0.3049718189605796,0.6342768438867934,0.4687855199908801,0.5387639660142147
cg_baseline,TicTacToe,1320,nan,nan,nan,13.903540280203577,39.51256037861792,26.70805032941075,53.4161006588215,4015.6941067288417,0.2582017812159315,0.16549043566710916,0.2014899451367786,0.4890504375182227,0.30581796601313366,0.37615933904083576,0.7537661812275037,0.48186737071898145,0.5878180772841578
cg_baseline,TrumanShow,1368,nan,nan,nan,17.86496029960423,20.80909300586778,19.337026652736004,38.67405330547201,1435.6245532026298,0.1891859837723544,0.20347744892217778,0.19563902058150856,0.358741581854178,0.37838229512396043,0.3675561559738198,0.6410057244961537,0.6280437567974834,0.6334006496840328
cg_baseline,VictoryHeart,1576,nan,nan,nan,15.898244926559112,16.530644299995938,16.21444461327752,32.42888922655504,982.616122413994,0.17244895520080675,0.2156186696201775,0.19138284969483219,0.34927597824678513,0.41870649570824303,0.38067624046173365,0.6982910173175433,0.7577184839826436,0.7267491032526113
cg_baseline,VirtualLife,1568,nan,nan,nan,14.057679968729268,20.61781884851913,17.337749408624198,34.675498817248396,1321.1876247030175,0.23187103755166458,0.2103131290804859,0.22046495282134673,0.4372368166923337,0.39144798171413053,0.4127938811223193,0.7491275637088595,0.6590966424513613,0.7010169555706133
crcir_aftercomp_4x_full,BlueSpeech,168,nan,nan,nan,14.46290058872818,16.24250096333415,15.352700776031167,30.705401552062334,1119.134182642505,0.2151398685591269,0.24556921596723905,0.229228697705359,0.41147802527989424,0.4703731793563036,0.4387399837199895,0.7414866622434596,0.7809578074353821,0.7605996853113822
crcir_aftercomp_4x_full,BlueVolley,171,nan,nan,nan,16.433637518954374,19.311817864411953,17.872727691683163,35.74545538336633,1348.9420023640537,0.2171826862279531,0.23088513034374603,0.22351125034527017,0.409153579593451,0.4174572899317586,0.41271745219876,0.6963072777806265,0.6721190704570122,0.683432913740039
crcir_aftercomp_4x_full,BouncingBlue,157,nan,nan,nan,22.54521285888781,27.458960723828255,25.002086791358032,50.004173582716064,2704.2508267207045,0.1591930580512326,0.18780698788270303,0.17204837803491183,0.30155428645237137,0.33367809518838437,0.3163047799076609,0.5419672682165495,0.535528281226059,0.5381604026110137
crcir_aftercomp_4x_full,FitFluencer,201,nan,nan,nan,13.955699724414822,20.436469059136403,17.196084391775614,34.39216878355123,1219.644425205221,0.256043222061361,0.20974878889205256,0.23041828313161247,0.4661962049845491,0.37800600960053293,0.417147249255124,0.7520136999612699,0.6299515269718079,0.685386424117412
crcir_aftercomp_4x_full,GoodVision,167,nan,nan,nan,20.59151946501647,29.130302234824605,24.860910849920536,49.72182169984107,2314.200708752268,0.18693823199542806,0.1617205962828634,0.17335984316926548,0.34790375019653536,0.28860313766763346,0.3153486845485597,0.5994717330771722,0.47714446057328497,0.5312217465502216
crcir_aftercomp_4x_full,Mannequin,188,nan,nan,nan,20.554830420761782,31.70512281807452,26.129976619418148,52.259953238836296,2761.189532649322,0.20675143760037687,0.15852933197902935,0.17944272181628032,0.38554734629376225,0.28231268543880383,0.32592268201793606,0.6319317419107595,0.45593258234401113,0.5296720530684081
crcir_aftercomp_4x_full,OrangeKettlebell,170,nan,nan,nan,15.838032403365734,17.41601071257359,16.62702155796966,33.25404311593932,1084.7260808114554,0.2143868455982447,0.22516486026980775,0.2195372958614551,0.4069483987998281,0.42460967738277444,0.4152554906127138,0.6925828061933249,0.7126758155996619,0.702126466426785
crcir_aftercomp_4x_full,PinkNoir,201,nan,nan,nan,17.817206190018634,27.842486141492614,22.829846165755626,45.65969233151125,1925.8696529048682,0.19477169944289613,0.1470252555690519,0.16746721409660317,0.36371669256112105,0.2727071558196382,0.3114944876216366,0.6350305100962047,0.47724781316622045,0.5446797988891701
crcir_aftercomp_4x_full,TicTacToe,165,nan,nan,nan,14.465107705707435,38.804627635175954,26.6348676704417,53.2697353408834,3936.0111660899156,0.25184036693463147,0.17383681561655664,0.20554941007254984,0.4737513983810664,0.3127743632647168,0.37667954241969165,0.7409301432922034,0.4870977312486036,0.5877074568822982
crcir_aftercomp_4x_full,TrumanShow,171,nan,nan,nan,18.064579681959877,20.46305878204882,19.263819232004348,38.527638464008696,1445.3550589923775,0.1888337145084233,0.21466851091678882,0.2005169417018021,0.3580094960924781,0.38793943433479017,0.37168398567351413,0.6372651617457291,0.634721818472877,0.6351118143388458
crcir_aftercomp_4x_full,VictoryHeart,197,nan,nan,nan,16.162533894061635,16.192469116125082,16.177501505093357,32.355003010186714,995.8907310111384,0.17251313530314755,0.2290594610301113,0.196670137349441,0.34760909500103543,0.4310565064504493,0.3847547763607162,0.6882945407150043,0.7647718696670976,0.724470251114717
crcir_aftercomp_4x_full,VirtualLife,196,nan,nan,nan,14.214260448350124,20.249987930167585,17.232124189258855,34.46424837851771,1340.5777944994816,0.23705856265559563,0.22173997664372086,0.22904221402143046,0.44409482990754295,0.4015244330007619,0.421455988348446,0.7470839624975024,0.6664156322529087,0.7042380965153276
neuralpoints_16x_2048_full,BlueSpeech,168,nan,nan,nan,16.985415489885245,16.778514724329405,16.881965107107323,33.763930214214646,1696.7857633347983,0.21327590942382812,0.1268188204677392,0.15903630950877456,0.4031746273949033,0.42642908799063983,0.4143669099289866,0.7054247174944196,0.7839600903078955,0.7425149298015409
neuralpoints_16x_2048_full,BlueVolley,171,nan,nan,nan,20.45075687147824,20.08700012379997,20.268878497639108,40.537756995278215,2037.2050217917135,0.1917549713313231,0.09496505420722356,0.12701382445381595,0.36249778702942254,0.35535233896343593,0.35874623794027516,0.6297578867415936,0.6689822208400198,0.6484884657853757
neuralpoints_16x_2048_full,BouncingBlue,157,nan,nan,nan,26.982655093159256,27.604894457338148,27.293774775248703,54.58754955049741,4229.032694477422,0.14098207510201036,0.07010649761941413,0.09358938164808513,0.2697825826657046,0.28578170890154714,0.2774047232196852,0.4940269130050756,0.5433347792778203,0.5172240237405835
neuralpoints_16x_2048_full,FitFluencer,201,nan,nan,nan,17.807013953334188,19.898612143948416,18.852813048641302,37.705626097282604,1614.7775174409296,0.20725352728544777,0.12595037398100406,0.1566647353588783,0.38606527907338306,0.38109007639327963,0.38340535266670356,0.6631765792618937,0.6567957709792628,0.659827919742555
neuralpoints_16x_2048_full,GoodVision,167,nan,nan,nan,25.332651260894156,28.627975206726273,26.980313233810215,53.96062646762043,2987.051963219044,0.15577469328920285,0.08729752161370734,0.11188306149140131,0.29480345948727543,0.2754300004353475,0.2846805581198747,0.5258776270700786,0.49111396644978716,0.5077726068726236
neuralpoints_16x_2048_full,Mannequin,188,nan,nan,nan,33.2182126610722,30.652686217792944,31.935449439432578,63.870898878865155,4712.572719878953,0.14336232936128657,0.09441750535274009,0.11384338196238857,0.2704808661278258,0.28275737113132454,0.2763581850894415,0.4727109543820645,0.4775172525301481,0.4750089276902728
neuralpoints_16x_2048_full,OrangeKettlebell,170,nan,nan,nan,18.457752640426477,17.775462580238372,18.116607610332427,36.23321522066485,1478.6744261758752,0.1995889102711397,0.11225191158779411,0.14366737031809176,0.37663412655101103,0.3920769665899302,0.3841020982383755,0.6541638542624081,0.7243900440564767,0.6872850775991927
neuralpoints_16x_2048_full,PinkNoir,201,nan,nan,nan,20.845389717249933,25.741610179252188,23.293499948251068,46.586999896502135,2509.7985026485226,0.17642485205806904,0.09669593762734857,0.12490912937762079,0.3335565215912624,0.2930689040417414,0.3118555108459176,0.5960342634969683,0.5263334938431411,0.5588591797033178
neuralpoints_16x_2048_full,TicTacToe,165,nan,nan,nan,19.29380343683574,37.29190349031328,28.292853463574502,56.585706927149005,4015.1412417903457,0.20455322265625,0.05065235526439606,0.08119442068593206,0.3844763553503788,0.23465373623311955,0.29140194417792453,0.648138612689394,0.47986208056008206,0.5513787173274828
neuralpoints_16x_2048_full,TrumanShow,171,nan,nan,nan,20.825457085411625,20.89739088980698,20.861423987609303,41.722847975218606,2040.7959486317836,0.17760177523072002,0.10458520287177543,0.1316362160465091,0.3384581448739035,0.35169279969175377,0.3447956656036511,0.6054148534585161,0.6382671892158601,0.621167385796269
neuralpoints_16x_2048_full,VictoryHeart,197,nan,nan,nan,18.050624029920197,17.212407458516925,17.63151574421856,35.26303148843712,1530.549940451005,0.19216283807899745,0.12052303619772435,0.14812609582227443,0.36272232907677665,0.39944868855829946,0.3800836167497271,0.6586958986853585,0.7323987245436818,0.6934988505672548
neuralpoints_16x_2048_full,VirtualLife,196,nan,nan,nan,18.152880419371982,20.069016445355825,19.1109484323639,38.2218968647278,2098.7062607185308,0.20380915427694515,0.11562403645917592,0.14753515940711787,0.38720796546157527,0.3760031274023013,0.3814060090977971,0.6799019015565211,0.685187790812888,0.6823823264688202
pucrn_pu1k_4x_full,BlueSpeech,168,nan,nan,nan,14.148374693757333,15.718580675724464,14.9334776847409,29.8669553694818,1060.3182482582058,0.2154031099319299,0.2668559368720273,0.2381374838723255,0.4107285065928648,0.49129301694255256,0.44707955358176565,0.7501993083182853,0.7915174985397738,0.7701784978393148
pucrn_pu1k_4x_full,BlueVolley,171,nan,nan,nan,16.137950029739162,18.78527418862436,17.46161210918176,34.92322421836352,1276.0388616323687,0.21445215459489064,0.24743069853651814,0.22926793874092938,0.40757856913366786,0.4333770132448866,0.419340004456491,0.7017806089851062,0.6822296188949535,0.6911974395090048
pucrn_pu1k_4x_full,BouncingBlue,157,nan,nan,nan,22.173396760283197,26.7859980204969,24.47969739039005,48.9593947807801,2574.827934249952,0.16207003447796015,0.19975504348381468,0.17855867766433745,0.3059336285508595,0.34603373723245606,0.3240961980756835,0.5475155757199331,0.546416046633361,0.5462904739534536
pucrn_pu1k_4x_full,FitFluencer,201,nan,nan,nan,13.602531363424541,19.709856772185898,16.656194067805224,33.31238813561045,1143.759402020624,0.2606653925399304,0.2259082843312062,0.24183523697580794,0.47389056944629177,0.3956990743137279,0.43091942716368514,0.7603774274297803,0.6454828855683279,0.6980451813323151
pucrn_pu1k_4x_full,GoodVision,167,nan,nan,nan,20.47619144270131,28.465536797172053,24.470864119936685,48.94172823987337,2228.5456611635964,0.1857787549039034,0.1727357704443814,0.17885802238246287,0.3467426706482082,0.2993639279431055,0.32103731282464193,0.6003198516268369,0.4875701171501213,0.5379131875490458
pucrn_pu1k_4x_full,Mannequin,188,nan,nan,nan,19.50930691808751,30.894673504914532,25.201990211501023,50.40398042300205,2552.55213680655,0.21818009791130272,0.16932820482304137,0.19065368169864777,0.40530473466282213,0.2937483561219939,0.3405865872308155,0.6515151850670173,0.4667461149657047,0.543841240734504
pucrn_pu1k_4x_full,OrangeKettlebell,170,nan,nan,nan,15.587255082376684,16.866870049362696,16.22706256586969,32.45412513173938,1032.0399504799786,0.21371805754940393,0.24221932355041872,0.2269263829997741,0.4110543184795531,0.44222633152646723,0.4257026111455327,0.7017013329227826,0.725467554855993,0.7130149338015961
pucrn_pu1k_4x_full,PinkNoir,201,nan,nan,nan,17.54468822204988,26.8724682335755,22.20857822781269,44.41715645562538,1801.288846223075,0.19444211247423066,0.16096585894376558,0.17590509271309937,0.3624270880242068,0.28883124051794046,0.3210913407853644,0.6337278452025024,0.4933195818168251,0.5544077932169256
pucrn_pu1k_4x_full,TicTacToe,165,nan,nan,nan,13.926439413950556,37.759444783985515,25.842942098968035,51.68588419793607,3752.2790378832146,0.2580894196487113,0.18484436525470724,0.21519842146426074,0.4884196810360416,0.32361992912340465,0.38913463760805017,0.7528184976629043,0.49655772562858913,0.5983261177989491
pucrn_pu1k_4x_full,TrumanShow,171,nan,nan,nan,17.865151767401706,19.836005861279848,18.850578814340775,37.70115762868155,1378.9106885889355,0.1893248207208387,0.23112479024692495,0.20768062729553502,0.3589410298361878,0.40424551765964234,0.3794517462970569,0.641107247571059,0.6473652204848946,0.6431086253005664
pucrn_pu1k_4x_full,VictoryHeart,197,nan,nan,nan,15.89485035372628,15.66185253802492,15.7783514458756,31.5567028917512,941.2883786567916,0.17234279765094643,0.24535757620602902,0.20219346021397028,0.34891961348296496,0.4503305823991162,0.3930046132310982,0.6985179862772753,0.7773388276165777,0.7357801235916459
pucrn_pu1k_4x_full,VirtualLife,196,nan,nan,nan,14.074102798085427,19.633962686775064,16.854032742430245,33.70806548486049,1263.8920842541236,0.2320610774718734,0.238383037620948,0.23505570111210533,0.4370598783887455,0.41949398888676576,0.42777593113543866,0.7483705641067065,0.6796915290762092,0.7121712058746751
puflow_discrete_full,BlueSpeech,168,nan,nan,nan,14.682779410736927,15.804638553879434,15.243708982308178,30.487417964616355,3814.8423154219413,0.215271965609312,0.2474972668611156,0.23016074304523843,0.4123434819329545,0.4806824805697227,0.44370230835318936,0.7419882186927164,0.7930261894986211,0.7665622000628511
puflow_discrete_full,BlueVolley,171,nan,nan,nan,16.787927233454162,18.853396274466878,17.82066175396052,35.64132350792104,2703.572316752368,0.2164288343593099,0.23068063972520406,0.22305315430451636,0.4073488382348181,0.4242099226672297,0.4151217742152193,0.6926249049808374,0.6819224341691954,0.686714769851375
puflow_discrete_full,BouncingBlue,157,nan,nan,nan,22.749921385120388,26.08078146504805,24.41535142508422,48.83070285016844,2847.5402825502388,0.15846318992009562,0.18855799923231636,0.17198595452006482,0.30046342977495305,0.344375087433585,0.320457404724593,0.5405904987762439,0.5562344638881768,0.5477098353946993
puflow_discrete_full,FitFluencer,201,nan,nan,nan,14.323343111057046,19.45857542827034,16.89095926966369,33.78191853932738,2917.51381690703,0.2533712752581443,0.21317927306848933,0.23140523378434275,0.46145091523293824,0.3928204547884959,0.4240747862514012,0.7459170905264174,0.6535150468580412,0.6964657128420769
puflow_discrete_full,GoodVision,167,nan,nan,nan,21.073293410014916,28.469928645726785,24.77161102787085,49.5432220557417,3267.2405375470353,0.1850276544095626,0.16265937821233004,0.17307457174878604,0.34446753801482,0.2953921232566164,0.3179078497596531,0.5941736701896071,0.48891364306692,0.5362968500465146
puflow_discrete_full,Mannequin,188,nan,nan,nan,22.834138887849644,30.836342266520166,26.8352405771849,53.6704811543698,4122.2803929902975,0.19660888401670032,0.16015476467047754,0.17650344704464369,0.36774708521398947,0.29046357169951204,0.3245348498682776,0.6089415344691634,0.4678059241940265,0.5290919899299019
puflow_discrete_full,OrangeKettlebell,170,nan,nan,nan,16.17708179515049,16.76507016878656,16.47107598196852,32.94215196393704,3254.691748930596,0.21340447319913272,0.2276313736221613,0.22018970443525956,0.40469842547990376,0.43774980354219317,0.4202421482455792,0.6896310043400561,0.7304582685708074,0.7091107562548499
puflow_discrete_full,PinkNoir,201,nan,nan,nan,18.178649655313365,26.199239441393377,22.18894454835337,44.37788909670674,4295.867451209812,0.1946888780071588,0.1520126106969794,0.17062870241882203,0.3632214852158869,0.28862257334452157,0.32143741383137864,0.6327498487664672,0.5037982260240731,0.5607164951657652
puflow_discrete_full,TicTacToe,165,nan,nan,nan,15.065974061589023,36.26808486218589,25.667029461887456,51.33405892377491,4125.52879432333,0.24676054377277884,0.17596119319111383,0.20534051001665848,0.4615617132172922,0.32147676579247186,0.37892154780963266,0.729270917613543,0.500723074891279,0.5937012267911715
